Site;Fence;Gap;Species;H11;D11
1;Exclosure;Dark;Acer;17;5.2
1;Exclosure;Dark;Tilia;71;8
1;Exclosure;Dark;Acer;31.5;6.5
1;Exclosure;Dark;Tilia;40;6.6
1;Exclosure;Dark;Acer;53;5.8
1;Control;Dark;Tilia;28;6.3
1;Control;Dark;Tilia;20;4.5
1;Control;Dark;Tilia;14;6.2
1;Control;Dark;Carpinus;23;5.4
1;Exclosure;Light;Tilia;156;15.7
1;Exclosure;Light;Carpinus;145;13.9
1;Exclosure;Light;Quercus;154;13.8
1;Exclosure;Light;Tilia;130;16.6
1;Exclosure;Light;Tilia;90;11.1
1;Exclosure;Light;Quercus;134;13.7
1;Exclosure;Light;Acer;255;18.6
1;Exclosure;Light;Tilia;148.5;20.5
1;Exclosure;Light;Picea;81;17.6
1;Exclosure;Light;Quercus;154;18.7
1;Exclosure;Light;Acer;144;11.8
1;Exclosure;Light;Tilia;112;19.8
1;Exclosure;Light;Acer;216;19.5
1;Exclosure;Light;Picea;78;13.5
1;Exclosure;Light;Acer;165;12.6
1;Exclosure;Light;Quercus;250;22.2
1;Exclosure;Light;Carpinus;249;20
1;Exclosure;Light;Carpinus;277;25.8
1;Exclosure;Light;Quercus;175;17.8
1;Exclosure;Light;Carpinus;195;18.7
1;Exclosure;Light;Acer;161;15.7
1;Exclosure;Light;Carpinus;241;19.8
1;Exclosure;Light;Picea;128;17.6
1;Exclosure;Light;Quercus;170;15.5
1;Exclosure;Light;Picea;94;14.6
1;Exclosure;Light;Carpinus;228;17.4
1;Exclosure;Light;Picea;98.5;14.8
1;Exclosure;Light;Picea;110;16.8
1;Exclosure;Light;Acer;58;6.9
1;Exclosure;Light;Tilia;64;8.2
1;Control;Light;Tilia;45.5;8.6
1;Control;Light;Acer;38.5;6.3
1;Control;Light;Quercus;44;5.9
1;Control;Light;Picea;43;12.9
1;Control;Light;Carpinus;40;6.6
1;Control;Light;Quercus;54.5;6.9
1;Control;Light;Picea;48;9
1;Control;Light;Acer;41.5;6.1
1;Control;Light;Carpinus;57;11.7
1;Control;Light;Quercus;66;10.3
1;Control;Light;Quercus;49.5;7.2
1;Control;Light;Tilia;51;8.9
1;Control;Light;Tilia;51;11.5
1;Control;Light;Picea;50.5;6.5
1;Control;Light;Tilia;70;15.5
1;Control;Light;Picea;40;12.4
1;Control;Light;Acer;56.5;5.9
1;Control;Light;Carpinus;60;12
1;Control;Light;Tilia;60;10.8
1;Control;Light;Carpinus;41;11
1;Control;Light;Carpinus;43;9.9
1;Control;Light;Tilia;48.5;10.3
1;Control;Light;Quercus;44;5.9
1;Control;Light;Acer;24.5;5.6
1;Control;Light;Picea;45.5;9.6
1;Control;Light;Quercus;43;7.7
2;Exclosure;Dark;Acer;102;9.3
2;Exclosure;Dark;Acer;81;7.1
2;Exclosure;Dark;Tilia;73;9.5
2;Exclosure;Dark;Carpinus;47;4.2
2;Exclosure;Dark;Carpinus;31;4.6
2;Exclosure;Dark;Acer;87;6.9
2;Exclosure;Dark;Acer;96;8.8
2;Exclosure;Dark;Carpinus;29;4.2
2;Exclosure;Dark;Tilia;11.5;2.4
2;Exclosure;Dark;Carpinus;32;4.8
2;Exclosure;Dark;Tilia;60;7.1
2;Exclosure;Dark;Acer;122;8.6
2;Exclosure;Dark;Tilia;33;8.9
2;Exclosure;Dark;Tilia;54;7.2
2;Exclosure;Dark;Carpinus;22;2.7
2;Exclosure;Dark;Acer;74;6.6
2;Exclosure;Dark;Tilia;75;9.9
2;Exclosure;Dark;Picea;44;6.6
2;Exclosure;Dark;Picea;40;7
2;Exclosure;Dark;Carpinus;24;3.4
2;Exclosure;Dark;Picea;NA;NA
2;Control;Dark;Acer;32;7.3
2;Control;Dark;Tilia;33.5;6.6
2;Control;Dark;Acer;34;5.1
2;Control;Dark;Tilia;46.5;6.5
2;Control;Dark;Acer;41;5.6
2;Control;Dark;Carpinus;19.5;7.4
2;Control;Dark;Acer;37.5;7.3
2;Control;Dark;Acer;61;5.5
2;Control;Dark;Tilia;35.5;5.9
2;Control;Dark;Acer;16.5;5.6
2;Control;Dark;Tilia;36;6.2
2;Control;Dark;Carpinus;33;3.9
2;Exclosure;Light;Acer;141;14.1
2;Exclosure;Light;Acer;225;18.2
2;Exclosure;Light;Acer;54;8.3
2;Exclosure;Light;Tilia;141;19.6
2;Exclosure;Light;Acer;117;10.2
2;Exclosure;Light;Acer;191;14.9
2;Exclosure;Light;Carpinus;76;7.8
2;Exclosure;Light;Quercus;78;6.6
2;Exclosure;Light;Acer;66;7.3
2;Exclosure;Light;Carpinus;241;16.6
2;Exclosure;Light;Picea;82;11.9
2;Exclosure;Light;Picea;64.5;12.3
2;Exclosure;Light;Carpinus;198.5;17.3
2;Exclosure;Light;Quercus;177;13.9
2;Exclosure;Light;Tilia;76;10.9
2;Exclosure;Light;Picea;75;14.4
2;Exclosure;Light;Tilia;138;18.4
2;Exclosure;Light;Tilia;116.5;13
2;Exclosure;Light;Picea;89.5;14.6
2;Exclosure;Light;Picea;104.5;23.4
2;Exclosure;Light;Carpinus;146;10.7
2;Exclosure;Light;Quercus;145;14.1
2;Exclosure;Light;Tilia;110;12.3
2;Exclosure;Light;Tilia;109;13.4
2;Exclosure;Light;Quercus;136;11.3
2;Exclosure;Light;Carpinus;234;16.8
2;Exclosure;Light;Picea;64;17.5
2;Exclosure;Light;Quercus;122;10.5
2;Exclosure;Light;Carpinus;177;16
2;Exclosure;Light;Quercus;113;11.6
2;Control;Light;Carpinus;51;11.2
2;Control;Light;Carpinus;53;10.4
2;Control;Light;Tilia;56;7.2
2;Control;Light;Carpinus;27;6.3
2;Control;Light;Carpinus;31;8.7
2;Control;Light;Picea;30;10.8
2;Control;Light;Quercus;52;7.9
2;Control;Light;Tilia;44;7.4
2;Control;Light;Acer;46.5;7
2;Control;Light;Carpinus;16.5;7.1
2;Control;Light;Picea;74;10.2
2;Control;Light;Tilia;49;12.4
2;Control;Light;Acer;44;7
2;Control;Light;Picea;34;8.7
2;Control;Light;Quercus;43;6.5
2;Control;Light;Quercus;50;7.4
2;Control;Light;Acer;24;5.7
2;Control;Light;Tilia;50.5;8.7
2;Control;Light;Tilia;36;11.1
2;Control;Light;Acer;25.5;6.5
2;Control;Light;Carpinus;60;8.4
2;Control;Light;Picea;45;7.1
3;Exclosure;Dark;Acer;72;8.7
3;Exclosure;Dark;Tilia;55.5;7.2
3;Exclosure;Dark;Acer;81;7
3;Exclosure;Dark;Acer;86;8
3;Exclosure;Dark;Tilia;62.5;6
3;Exclosure;Dark;Carpinus;26;4.7
3;Exclosure;Dark;Tilia;51;7.3
3;Exclosure;Dark;Acer;50;5.9
3;Exclosure;Dark;Acer;48.5;4.7
3;Exclosure;Dark;Tilia;32.5;4.5
3;Exclosure;Dark;Tilia;47;5.6
3;Exclosure;Dark;Acer;67;7.9
3;Control;Dark;Acer;15;5.6
3;Control;Dark;Tilia;42;7.4
3;Control;Dark;Acer;45;6.2
3;Control;Dark;Tilia;38;7.7
3;Control;Dark;Acer;25;6.8
3;Control;Dark;Carpinus;36;5
3;Control;Dark;Tilia;36;7.2
3;Control;Dark;Tilia;47;8.2
3;Control;Dark;Carpinus;40;6.6
3;Control;Dark;Tilia;47;7.7
3;Exclosure;Light;Carpinus;174;7.5
3;Exclosure;Light;Picea;126;18.4
3;Exclosure;Light;Tilia;75;9.2
3;Exclosure;Light;Acer;140;15
3;Exclosure;Light;Acer;119;11.1
3;Exclosure;Light;Picea;90;14.9
3;Exclosure;Light;Tilia;146;20.1
3;Exclosure;Light;Carpinus;250;25.7
3;Exclosure;Light;Quercus;85;8.4
3;Exclosure;Light;Quercus;104;12.8
3;Exclosure;Light;Acer;241;16.8
3;Exclosure;Light;Carpinus;200;20.3
3;Exclosure;Light;Tilia;102;10.9
3;Exclosure;Light;Picea;122;19.9
3;Exclosure;Light;Acer;200;15.8
3;Exclosure;Light;Quercus;49;8.5
3;Exclosure;Light;Tilia;100;11.1
3;Exclosure;Light;Carpinus;157;17.1
3;Exclosure;Light;Picea;129;19.2
3;Exclosure;Light;Acer;253;20.8
3;Exclosure;Light;Carpinus;222;15.6
3;Exclosure;Light;Tilia;84;11.6
3;Exclosure;Light;Picea;129;19.2
3;Exclosure;Light;Quercus;65;7.2
3;Exclosure;Light;picea;78;13.6
3;Exclosure;Light;Acer;124;12.5
3;Exclosure;Light;Carpinus;42;5.3
3;Exclosure;Light;Tilia;106;12.5
3;Exclosure;Light;Quercus;103;11.6
3;Control;Light;Tilia;36;8.3
3;Control;Light;Tilia;48.5;10.7
3;Control;Light;Picea;50.5;11.1
3;Control;Light;Picea;44;NA
