Site;Fence;Gap;Species;H9;S9;D9
1;Control;Dark;Acer;25.5;25.5;4.9
1;Control;Dark;Acer;31;31;5.5
1;Control;Dark;Acer;38;38;6.1
1;Control;Dark;Acer;39;39;6.9
1;Control;Dark;Acer;44.5;44.5;5.3
1;Control;Dark;Acer;48.5;48.5;6.8
2;Control;Dark;Acer;24;24;8
2;Control;Dark;Acer;32;33.5;5.1
2;Control;Dark;Acer;33;33;4.7
2;Control;Dark;Acer;44;44;6.9
2;Control;Dark;Acer;46;46;5.5
2;Control;Dark;Acer;52;52.5;6.7
3;Control;Dark;Acer;32;32;6.3
3;Control;Dark;Acer;36;36;5.1
3;Control;Dark;Acer;37;41;5.6
3;Control;Dark;Acer;41.5;41.5;4.5
3;Control;Dark;Acer;43.5;43.5;8.1
3;Control;Dark;Acer;45;45;5.8
4;Control;Dark;Acer;30;10;6.9
4;Control;Dark;Acer;37.5;37.5;6.8
4;Control;Dark;Acer;38.5;38.5;7.1
4;Control;Dark;Acer;41;41;5.7
4;Control;Dark;Acer;52.5;52.5;7
4;Control;Dark;Acer;53;53;8.9
5;Control;Dark;Acer;31;31;5.7
5;Control;Dark;Acer;36.5;36.5;5.1
5;Control;Dark;Acer;41;41;7.7
5;Control;Dark;Acer;42.5;22.5;6.6
5;Control;Dark;Acer;44;44;5
5;Control;Dark;Acer;62.5;62.5;6.9
6;Control;Dark;Acer;30;30;6.4
6;Control;Dark;Acer;35.5;35.5;5.3
6;Control;Dark;Acer;46;46;8.4
6;Control;Dark;Acer;48;48;6.5
6;Control;Dark;Acer;49;49;8.5
6;Control;Dark;Acer;53.5;53.5;6.8
1;Control;Dark;Carpinus;15;15;6.8
1;Control;Dark;Carpinus;15;15;3.4
1;Control;Dark;Carpinus;18;18;5.5
1;Control;Dark;Carpinus;21;21;4.9
1;Control;Dark;Carpinus;21.5;19.5;6.9
1;Control;Dark;Carpinus;24.5;24.5;4.5
2;Control;Dark;Carpinus;9.5;9.5;3.8
2;Control;Dark;Carpinus;20;20;6
2;Control;Dark;Carpinus;21.5;16;6.5
2;Control;Dark;Carpinus;24.5;24.5;7.7
