Site;Fence;Gap;Species;Survived
1;Control;Dark;Acer;0
1;Control;Dark;Acer;0
1;Control;Dark;Acer;0
1;Control;Dark;Acer;0
1;Control;Dark;Acer;0
1;Control;Dark;Acer;0
1;Control;Light;Acer;1
1;Control;Light;Acer;1
1;Control;Light;Acer;0
1;Control;Light;Acer;0
1;Control;Light;Acer;0
1;Control;Light;Acer;0
1;Exclosure;Dark;Acer;0
1;Exclosure;Dark;Acer;0
1;Exclosure;Dark;Acer;0
1;Exclosure;Dark;Acer;1
1;Exclosure;Dark;Acer;0
1;Exclosure;Dark;Acer;0
1;Exclosure;Light;Acer;1
1;Exclosure;Light;Acer;1
1;Exclosure;Light;Acer;1
1;Exclosure;Light;Acer;1
1;Exclosure;Light;Acer;1
1;Exclosure;Light;Acer;1
1;Control;Dark;Carpinus;0
1;Control;Dark;Carpinus;0
1;Control;Dark;Carpinus;1
1;Control;Dark;Carpinus;0
1;Control;Dark;Carpinus;0
1;Control;Dark;Carpinus;0
1;Control;Light;Carpinus;1
1;Control;Light;Carpinus;1
1;Control;Light;Carpinus;1
1;Control;Light;Carpinus;0
1;Control;Light;Carpinus;1
1;Control;Light;Carpinus;1
1;Exclosure;Dark;Carpinus;0
1;Exclosure;Dark;Carpinus;0
1;Exclosure;Dark;Carpinus;0
1;Exclosure;Dark;Carpinus;0
1;Exclosure;Dark;Carpinus;0
1;Exclosure;Dark;Carpinus;0
1;Exclosure;Light;Carpinus;1
1;Exclosure;Light;Carpinus;1
1;Exclosure;Light;Carpinus;1
1;Exclosure;Light;Carpinus;1
1;Exclosure;Light;Carpinus;1
1;Exclosure;Light;Carpinus;1
1;Control;Dark;Picea;0
1;Control;Dark;Picea;0
1;Control;Dark;Picea;0
1;Control;Dark;Picea;0
1;Control;Dark;Picea;0
1;Control;Dark;Picea;0
1;Control;Light;Picea;1
1;Control;Light;Picea;1
1;Control;Light;Picea;1
1;Control;Light;Picea;0
1;Control;Light;Picea;0
1;Control;Light;Picea;0
1;Exclosure;Dark;Picea;0
1;Exclosure;Dark;Picea;0
1;Exclosure;Dark;Picea;0
1;Exclosure;Dark;Picea;0
1;Exclosure;Dark;Picea;0
1;Exclosure;Dark;Picea;0
1;Exclosure;Light;Picea;1
1;Exclosure;Light;Picea;1
1;Exclosure;Light;Picea;0
1;Exclosure;Light;Picea;1
1;Exclosure;Light;Picea;0
1;Exclosure;Light;Picea;1
1;Control;Dark;Quercus;0
1;Control;Dark;Quercus;0
1;Control;Dark;Quercus;0
1;Control;Dark;Quercus;0
1;Control;Dark;Quercus;0
1;Control;Dark;Quercus;0
1;Control;Light;Quercus;1
1;Control;Light;Quercus;1
1;Control;Light;Quercus;1
1;Control;Light;Quercus;1
1;Control;Light;Quercus;0
1;Control;Light;Quercus;0
1;Exclosure;Dark;Quercus;0
1;Exclosure;Dark;Quercus;0
1;Exclosure;Dark;Quercus;0
1;Exclosure;Dark;Quercus;0
1;Exclosure;Dark;Quercus;0
1;Exclosure;Dark;Quercus;0
1;Exclosure;Light;Quercus;1
1;Exclosure;Light;Quercus;1
1;Exclosure;Light;Quercus;1
1;Exclosure;Light;Quercus;1
1;Exclosure;Light;Quercus;1
1;Exclosure;Light;Quercus;1
1;Control;Dark;Tilia;0
1;Control;Dark;Tilia;1
1;Control;Dark;Tilia;1
1;Control;Dark;Tilia;0
1;Control;Dark;Tilia;0
1;Control;Dark;Tilia;0
1;Control;Light;Tilia;1
1;Control;Light;Tilia;1
1;Control;Light;Tilia;1
1;Control;Light;Tilia;1
1;Control;Light;Tilia;0
1;Control;Light;Tilia;1
1;Exclosure;Dark;Tilia;0
1;Exclosure;Dark;Tilia;0
1;Exclosure;Dark;Tilia;1
1;Exclosure;Dark;Tilia;1
1;Exclosure;Dark;Tilia;0
1;Exclosure;Dark;Tilia;0
1;Exclosure;Light;Tilia;1
1;Exclosure;Light;Tilia;1
1;Exclosure;Light;Tilia;1
1;Exclosure;Light;Tilia;1
1;Exclosure;Light;Tilia;0
1;Exclosure;Light;Tilia;1
2;Control;Dark;Acer;1
2;Control;Dark;Acer;1
2;Control;Dark;Acer;1
2;Control;Dark;Acer;1
2;Control;Dark;Acer;1
2;Control;Dark;Acer;1
2;Control;Light;Acer;1
2;Control;Light;Acer;1
2;Control;Light;Acer;1
2;Control;Light;Acer;1
2;Control;Light;Acer;0
2;Control;Light;Acer;0
2;Exclosure;Dark;Acer;1
2;Exclosure;Dark;Acer;1
2;Exclosure;Dark;Acer;1
2;Exclosure;Dark;Acer;1
