Site;Fence;Gap;Species;H9;S9;H13;S13
1;Control;Dark;Acer;38;38;NA;NA
1;Control;Dark;Acer;39;39;NA;NA
1;Control;Dark;Acer;44.5;44.5;NA;NA
1;Control;Dark;Acer;48.5;48.5;NA;NA
1;Control;Dark;Acer;31;31;NA;NA
1;Control;Dark;Acer;25.5;25.5;NA;NA
1;Control;Light;Acer;48.5;48.5;34;25
1;Control;Light;Acer;35.5;35.5;38.5;33
1;Control;Light;Acer;64.5;64.5;NA;NA
1;Control;Light;Acer;45.5;45.5;NA;NA
1;Control;Light;Acer;36;36;NA;NA
1;Control;Light;Acer;44;44;NA;NA
1;Exclosure;Dark;Acer;55.5;55.5;NA;NA
1;Exclosure;Dark;Acer;49.5;49.5;NA;NA
1;Exclosure;Dark;Acer;39;39;NA;NA
1;Exclosure;Dark;Acer;30;30;18;9
1;Exclosure;Dark;Acer;34;34;NA;NA
1;Exclosure;Dark;Acer;51;51;NA;NA
1;Exclosure;Light;Acer;28.5;28.5;314;319
1;Exclosure;Light;Acer;45.5;48;173;173
1;Exclosure;Light;Acer;25.5;25.5;217;224
1;Exclosure;Light;Acer;47;47;356;356
1;Exclosure;Light;Acer;43;43;394;394
1;Exclosure;Light;Acer;41.5;41.5;295;290
1;Control;Dark;Carpinus;24.5;24.5;NA;NA
1;Control;Dark;Carpinus;15;15;NA;NA
1;Control;Dark;Carpinus;21.5;19.5;28;23
1;Control;Dark;Carpinus;15;15;NA;NA
1;Control;Dark;Carpinus;21;21;NA;NA
1;Control;Dark;Carpinus;18;18;NA;NA
1;Control;Light;Carpinus;18.5;18.5;52;45
1;Control;Light;Carpinus;24;25;58;46
1;Control;Light;Carpinus;26.5;26.5;42;31
1;Control;Light;Carpinus;26;26.5;NA;NA
1;Control;Light;Carpinus;35;35;48;34
1;Control;Light;Carpinus;38;38;41;37
1;Exclosure;Dark;Carpinus;29.5;29.5;NA;NA
1;Exclosure;Dark;Carpinus;14.5;14.5;NA;NA
1;Exclosure;Dark;Carpinus;23.5;23.5;NA;NA
1;Exclosure;Dark;Carpinus;11;11.5;NA;NA
1;Exclosure;Dark;Carpinus;18.5;18.5;NA;NA
1;Exclosure;Dark;Carpinus;12;12;NA;NA
1;Exclosure;Light;Carpinus;11;11;239;270
1;Exclosure;Light;Carpinus;23.5;23.5;370;380
1;Exclosure;Light;Carpinus;23;24.5;334;344
1;Exclosure;Light;Carpinus;19.5;19.5;292;314
1;Exclosure;Light;Carpinus;25;25;288;298
1;Exclosure;Light;Carpinus;22.5;23;480;480
1;Control;Dark;Picea;42.5;42.5;NA;NA
1;Control;Dark;Picea;36.5;36.5;NA;NA
1;Control;Dark;Picea;33.5;33.5;NA;NA
1;Control;Dark;Picea;28;28;NA;NA
1;Control;Dark;Picea;39.5;39.5;NA;NA
1;Control;Dark;Picea;23.5;18.5;NA;NA
1;Control;Light;Picea;27.5;27.5;41.5;20.5
1;Control;Light;Picea;51;51;45;44
1;Control;Light;Picea;36;36;46;44
1;Control;Light;Picea;33.5;33.5;NA;NA
1;Control;Light;Picea;31.5;31.5;NA;NA
1;Control;Light;Picea;32;32;NA;NA
1;Exclosure;Dark;Picea;28.5;28.5;NA;NA
1;Exclosure;Dark;Picea;39.5;39.5;NA;NA
1;Exclosure;Dark;Picea;20.5;20.5;NA;NA
1;Exclosure;Dark;Picea;35.5;35,5,;NA;NA
1;Exclosure;Dark;Picea;27;27;NA;NA
1;Exclosure;Dark;Picea;48;48;NA;NA
1;Exclosure;Light;Picea;20.5;20.5;128;128
1;Exclosure;Light;Picea;33;33;159;159
1;Exclosure;Light;Picea;36.5;36.5;NA;NA
1;Exclosure;Light;Picea;25.5;25.5;148;148
1;Exclosure;Light;Picea;32;32;NA;NA
1;Exclosure;Light;Picea;23.5;24;144;144
1;Control;Dark;Quercus;63;63;NA;NA
1;Control;Dark;Quercus;55;57;NA;NA
1;Control;Dark;Quercus;69.5;69.5;NA;NA
1;Control;Dark;Quercus;57;57;NA;NA
1;Control;Dark;Quercus;55;55;NA;NA
1;Control;Dark;Quercus;53.5;54.5;NA;NA
1;Control;Light;Quercus;54.5;22.5;30;21
1;Control;Light;Quercus;68;68;73.5;66.5
1;Control;Light;Quercus;51;51;52.5;46
1;Control;Light;Quercus;44;45;42;47
1;Control;Light;Quercus;36.5;36.5;NA;NA
1;Control;Light;Quercus;61;65;NA;NA
1;Exclosure;Dark;Quercus;57;57;NA;NA
1;Exclosure;Dark;Quercus;48;48;NA;NA
1;Exclosure;Dark;Quercus;48;48;NA;NA
1;Exclosure;Dark;Quercus;51;51.5;NA;NA
1;Exclosure;Dark;Quercus;46;47.5;NA;NA
1;Exclosure;Dark;Quercus;65;65;NA;NA
1;Exclosure;Light;Quercus;47;47;216;177
1;Exclosure;Light;Quercus;63;63;306;325
1;Exclosure;Light;Quercus;51.5;51.5;216;182
1;Exclosure;Light;Quercus;70.5;70.5;136;144
1;Exclosure;Light;Quercus;48;50;261;198
1;Exclosure;Light;Quercus;51.5;51.5;201;118
1;Control;Dark;Tilia;34;34;NA;NA
1;Control;Dark;Tilia;26;26;28;37
1;Control;Dark;Tilia;18.5;18.5;15.5;7
1;Control;Dark;Tilia;30.5;30.5;NA;NA
1;Control;Dark;Tilia;26;26;NA;NA
1;Control;Dark;Tilia;25;25;NA;NA
1;Control;Light;Tilia;36.5;36.5;40;33.5
1;Control;Light;Tilia;35;36;63;59.5
1;Control;Light;Tilia;47;47;54;47
1;Control;Light;Tilia;25.5;25.5;55;23
1;Control;Light;Tilia;30.5;30.5;NA;NA
1;Control;Light;Tilia;22.5;23;50;50
1;Exclosure;Dark;Tilia;42.5;42.5;NA;NA
1;Exclosure;Dark;Tilia;43;43.5;NA;NA
1;Exclosure;Dark;Tilia;30.5;30.5;39;23
1;Exclosure;Dark;Tilia;70.5;70.5;66.5;61.5
1;Exclosure;Dark;Tilia;37;37;NA;NA
1;Exclosure;Dark;Tilia;47.5;55.5;NA;NA
1;Exclosure;Light;Tilia;42.5;42.5;133;95
1;Exclosure;Light;Tilia;55.5;55.5;61;78
1;Exclosure;Light;Tilia;41.5;41.5;199;181
1;Exclosure;Light;Tilia;28;28;265;266
1;Exclosure;Light;Tilia;30;35.5;NA;NA
1;Exclosure;Light;Tilia;28.5;29.5;47;29
2;Control;Dark;Acer;32;33.5;34;35
2;Control;Dark;Acer;46;46;48;40
2;Control;Dark;Acer;33;33;21;24
2;Control;Dark;Acer;44;44;21;14
